date,number
2021/5/9 0:00,0
2021/5/9 1:00,0
2021/5/9 2:00,0
2021/5/9 3:00,0
2021/5/9 4:00,0
2021/5/9 5:00,0
2021/5/9 6:00,0
2021/5/9 7:00,0
2021/5/9 8:00,6
2021/5/9 9:00,77
2021/5/9 10:00,26
2021/5/9 11:00,136
2021/5/9 12:00,95
2021/5/9 13:00,88
2021/5/9 14:00,95
2021/5/9 15:00,93
2021/5/9 16:00,80
2021/5/9 17:00,74
2021/5/9 18:00,79
2021/5/9 19:00,54
2021/5/9 20:00,20
2021/5/9 21:00,0
2021/5/9 22:00,0
2021/5/9 23:00,0
2021/5/10 0:00,0
2021/5/10 1:00,0
2021/5/10 2:00,0
2021/5/10 3:00,0
2021/5/10 4:00,0
2021/5/10 5:00,0
2021/5/10 6:00,0
2021/5/10 7:00,0
2021/5/10 8:00,7
2021/5/10 9:00,67
2021/5/10 10:00,87
2021/5/10 11:00,65
2021/5/10 12:00,62
2021/5/10 13:00,87
2021/5/10 14:00,85
2021/5/10 15:00,175
2021/5/10 16:00,106
2021/5/10 17:00,106
2021/5/10 18:00,83
2021/5/10 19:00,19
2021/5/10 20:00,9
2021/5/10 21:00,0
2021/5/10 22:00,0
2021/5/10 23:00,0
2021/5/11 0:00,0
2021/5/11 1:00,0
2021/5/11 2:00,0
2021/5/11 3:00,0
2021/5/11 4:00,0
2021/5/11 5:00,0
2021/5/11 6:00,0
2021/5/11 7:00,0
2021/5/11 8:00,21
2021/5/11 9:00,89
2021/5/11 10:00,122
2021/5/11 11:00,96
2021/5/11 12:00,109
2021/5/11 13:00,73
2021/5/11 14:00,160
2021/5/11 15:00,133
2021/5/11 16:00,123
2021/5/11 17:00,123
2021/5/11 18:00,110
2021/5/11 19:00,96
2021/5/11 20:00,19
2021/5/11 21:00,0
2021/5/11 22:00,0
2021/5/11 23:00,0
2021/5/12 0:00,0
2021/5/12 1:00,0
2021/5/12 2:00,0
2021/5/12 3:00,0
2021/5/12 4:00,0
2021/5/12 5:00,0
2021/5/12 6:00,0
2021/5/12 7:00,0
2021/5/12 8:00,49
2021/5/12 9:00,115
2021/5/12 10:00,138
2021/5/12 11:00,118
2021/5/12 12:00,107
2021/5/12 13:00,82
2021/5/12 14:00,143
2021/5/12 15:00,117
2021/5/12 16:00,137
2021/5/12 17:00,156
2021/5/12 18:00,86
2021/5/12 19:00,62
2021/5/12 20:00,41
2021/5/12 21:00,26
2021/5/12 22:00,0
2021/5/12 23:00,0
2021/5/13 0:00,0
2021/5/13 1:00,0
2021/5/13 2:00,0
2021/5/13 3:00,0
2021/5/13 4:00,0
2021/5/13 5:00,0
2021/5/13 6:00,0
2021/5/13 7:00,0
2021/5/13 8:00,80
2021/5/13 9:00,459
2021/5/13 10:00,119
2021/5/13 11:00,130
2021/5/13 12:00,137
2021/5/13 13:00,134
2021/5/13 14:00,127
2021/5/13 15:00,141
2021/5/13 16:00,158
2021/5/13 17:00,148
2021/5/13 18:00,183
2021/5/13 19:00,152
2021/5/13 20:00,44
2021/5/13 21:00,0
2021/5/13 22:00,0
2021/5/13 23:00,0
2021/5/14 0:00,0
2021/5/14 1:00,0
2021/5/14 2:00,0
2021/5/14 3:00,0
2021/5/14 4:00,0
2021/5/14 5:00,0
2021/5/14 6:00,0
2021/5/14 7:00,0
2021/5/14 8:00,56
2021/5/14 9:00,114
2021/5/14 10:00,118
2021/5/14 11:00,161
2021/5/14 12:00,141
2021/5/14 13:00,150
2021/5/14 14:00,163
2021/5/14 15:00,126
2021/5/14 16:00,167
2021/5/14 17:00,153
2021/5/14 18:00,150
2021/5/14 19:00,103
2021/5/14 20:00,38
2021/5/14 21:00,0
2021/5/14 22:00,0
2021/5/14 23:00,0
2021/5/15 0:00,0
