date,number
5/9/2021 0:00,0
5/9/2021 1:00,0
5/9/2021 2:00,0
5/9/2021 3:00,0
5/9/2021 4:00,0
5/9/2021 5:00,0
5/9/2021 6:00,0
5/9/2021 7:00,0
5/9/2021 8:00,6
5/9/2021 9:00,77
5/9/2021 10:00,26
5/9/2021 11:00,136
5/9/2021 12:00,95
5/9/2021 13:00,88
5/9/2021 14:00,95
5/9/2021 15:00,93
5/9/2021 16:00,80
5/9/2021 17:00,74
5/9/2021 18:00,79
5/9/2021 19:00,54
5/9/2021 20:00,20
5/9/2021 21:00,0
5/9/2021 22:00,0
5/9/2021 23:00,0
5/10/2021 0:00,0
5/10/2021 1:00,0
5/10/2021 2:00,0
5/10/2021 3:00,0
5/10/2021 4:00,0
5/10/2021 5:00,0
5/10/2021 6:00,0
5/10/2021 7:00,0
5/10/2021 8:00,7
5/10/2021 9:00,67
5/10/2021 10:00,87
5/10/2021 11:00,65
5/10/2021 12:00,62
5/10/2021 13:00,87
5/10/2021 14:00,85
5/10/2021 15:00,175
5/10/2021 16:00,106
5/10/2021 17:00,106
5/10/2021 18:00,83
5/10/2021 19:00,19
5/10/2021 20:00,9
5/10/2021 21:00,0
5/10/2021 22:00,0
5/10/2021 23:00,0
5/11/2021 0:00,0
5/11/2021 1:00,0
5/11/2021 2:00,0
5/11/2021 3:00,0
5/11/2021 4:00,0
5/11/2021 5:00,0
5/11/2021 6:00,0
5/11/2021 7:00,0
5/11/2021 8:00,21
5/11/2021 9:00,89
5/11/2021 10:00,122
5/11/2021 11:00,96
5/11/2021 12:00,109
5/11/2021 13:00,73
5/11/2021 14:00,160
5/11/2021 15:00,133
5/11/2021 16:00,123
5/11/2021 17:00,123
5/11/2021 18:00,110
5/11/2021 19:00,96
5/11/2021 20:00,19
5/11/2021 21:00,0
5/11/2021 22:00,0
5/11/2021 23:00,0
5/12/2021 0:00,0
5/12/2021 1:00,0
5/12/2021 2:00,0
5/12/2021 3:00,0
5/12/2021 4:00,0
5/12/2021 5:00,0
5/12/2021 6:00,0
5/12/2021 7:00,0
5/12/2021 8:00,49
5/12/2021 9:00,115
5/12/2021 10:00,138
5/12/2021 11:00,118
5/12/2021 12:00,107
5/12/2021 13:00,82
5/12/2021 14:00,143
5/12/2021 15:00,117
5/12/2021 16:00,137
5/12/2021 17:00,156
5/12/2021 18:00,86
5/12/2021 19:00,62
5/12/2021 20:00,41
5/12/2021 21:00,26
5/12/2021 22:00,0
5/12/2021 23:00,0
5/13/2021 0:00,0
5/13/2021 1:00,0
5/13/2021 2:00,0
5/13/2021 3:00,0
5/13/2021 4:00,0
5/13/2021 5:00,0
5/13/2021 6:00,0
5/13/2021 7:00,0
5/13/2021 8:00,80
5/13/2021 9:00,459
5/13/2021 10:00,119
5/13/2021 11:00,130
5/13/2021 12:00,137
5/13/2021 13:00,134
5/13/2021 14:00,127
5/13/2021 15:00,141
5/13/2021 16:00,158
5/13/2021 17:00,148
5/13/2021 18:00,183
5/13/2021 19:00,152
5/13/2021 20:00,44
5/13/2021 21:00,0
5/13/2021 22:00,0
5/13/2021 23:00,0
5/14/2021 0:00,0
5/14/2021 1:00,0
5/14/2021 2:00,0
5/14/2021 3:00,0
5/14/2021 4:00,0
5/14/2021 5:00,0
5/14/2021 6:00,0
5/14/2021 7:00,0
5/14/2021 8:00,56
5/14/2021 9:00,114
5/14/2021 10:00,118
5/14/2021 11:00,161
5/14/2021 12:00,141
